,name,geometry,probability
150,281202030,POINT (140602.88438157868 401008.3743732761),1.469874093310432e-05
151,343134037,POINT (171843.8117809248 367472.7652894889),3.591096744484607e-05
152,402174065,POINT (201247.3985402649 387160.1085728398),1.1526479382518144e-05
153,402173056,POINT (201373.8084781944 386841.76456837694),1.605139045099241e-05
154,212197034,POINT (106120.77961631202 398533.8475928334),2.000332008064315e-05
155,212197044,POINT (106366.48955069263 398550.4855835177),2.0867440116269393e-05
156,245490017,POINT (122753.18273727929 545160.4954898324),2.4736539029497567e-09
157,246490016,POINT (123008.85277464328 545249.73948176),6.099128725715667e-06
158,248256252,POINT (124142.82578144161 428378.4882057453),4.5228612029904724e-05
159,248256028,POINT (124119.02878253342 428350.9442063116),0.00012283008217671608
160,233306027,POINT (116559.17630032533 453268.8966826635),0.00019092895294912351
161,233306046,POINT (116793.86029271204 453351.6736751827),0.0005420618002054205
162,94233009,POINT (47005.71986019338 416867.0011372883),2.6336368606043135e-06
163,94233013,POINT (47020.70781760825 416910.3491368289),3.1249940055903425e-06
164,177188227,POINT (88989.82446819574 394169.76823666686),0.0
165,128217056,POINT (64357.52703620751 408648.63136623433),6.698836252380205e-07
166,128217051,POINT (64370.788021163564 408661.49436576595),3.295094801765393e-06
167,237381082,POINT (118704.12924992963 490828.21476137004),0.0
168,237381080,POINT (118735.24925168147 490859.33576042205),8.370059282280315e-05
169,143164056,POINT (71993.6628043863 382300.13185551355),2.9419182994776027e-05
170,144164042,POINT (72077.53572100637 382318.0688521309),0.000287484127888449
171,239221091,POINT (119550.30000435318 410864.1371989616),7.996318725080788e-05
172,239221159,POINT (119576.78700126395 410864.63619800267),4.030318124612477e-05
173,248404058,POINT (124371.47963717658 502359.00658672285),8.758286336160175e-05
174,248405177,POINT (124302.59563687524 502763.272588578),2.057357746027971e-05
175,276196036,POINT (138119.1833737415 398224.4324330208),4.0980002084761526e-05
176,276196038,POINT (138166.3423747703 398315.5984321745),8.963674614436193e-06
177,163274058,POINT (82008.06963364701 437078.5478284679),0.00017621425359447477
178,164274087,POINT (82073.44361853336 437071.0538259504),3.4438250239844435e-05
179,227188047,POINT (113704.73291525488 394133.317270373),0.00041125825491146185
180,227188048,POINT (113795.81589652644 394174.76726726897),7.594651819614448e-05
181,206343096,POINT (103412.08893007551 471778.7272154676),1.161887780265566e-05
182,206343095,POINT (103469.51593096193 471795.0052136284),3.6735495756102314e-05
183,62196006,POINT (31009.114113631076 398042.63172111305),2.955924806508938e-07
184,64199021,POINT (32466.621886869845 399888.4586706743),3.141208443780328e-07
185,64199026,POINT (32474.724895538573 399865.4026701827),4.573894978634757e-07
186,66184031,POINT (33226.91861276031 392385.5845850436),3.5857367336347063e-06
187,284351118,POINT (142443.32248061802 475506.2659593198),8.731081465466113e-05
188,284350084,POINT (142451.435480065 475485.21695895767),9.107947560954448e-07
189,173309120,POINT (86890.26888179308 454517.033724731),0.00015058440252448775
190,173309129,POINT (86881.95088110461 454526.2227250548),2.1664291274027604e-05
191,174308198,POINT (87115.81690335482 454245.7687158705),1.1777348574795123e-05
192,174308220,POINT (87131.52290471338 454227.62571525393),0.0
193,373057217,POINT (186565.7193557284 328636.8375043692),2.0120243361274967e-05
194,373057216,POINT (186667.8683330436 328623.3895018588),1.8864003268186344e-05
195,372057092,POINT (186229.45143335024 328759.7425100568),0.00011357555070872592
196,372057093,POINT (186367.15840072668 328688.9925083995),2.748650447180628e-05
197,394347162,POINT (197401.81588144397 473806.7652196941),0.0
198,394357075,POINT (197472.76921927594 478500.5322254996),1.9266213627911427e-05
199,395356111,POINT (197654.81622000117 478388.76521962136),0.0
200,395153010,POINT (197554.14766825744 376732.3746233439),1.5056406073614272e-05
201,395153016,POINT (197818.75060245476 376770.2276171351),7.241804960562409e-05
202,402173159,POINT (201480.17642169594 386529.48856443714),9.490199863416879e-06
203,402173145,POINT (201545.8383923042 386400.84556232067),3.9289555459776e-05
204,402404025,POINT (201181.81839482125 502216.76508270577),2.019805483313753e-05
205,402404027,POINT (201262.81841288914 502291.7650797023),1.774791398834161e-05
206,459483250,POINT (229605.88140597867 541510.4057692834),1.0040992836937504e-05
207,459483239,POINT (229799.83663512787 541786.7637592172),0.0
208,520558012,POINT (260383.90034127724 579111.7623258848),7.371760383359989e-05
